name,position,team,xP,total_points
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,0,0
Ellis Simms,FWD,Everton,0,0
Jonathan Castro Otto,DEF,Wolves,0,0
Taiwo Awoniyi,FWD,Nott'm Forest,7.5,7
Mads Roerslev Rasmussen,DEF,Brentford,1,1
Calvin Bassey,DEF,Fulham,0.5,1
James Ward-Prowse,MID,West Ham,2.2,9
Konstantinos Tsimikas,DEF,Liverpool,1,1
Mahmoud Dahoud,MID,Brighton,2,1
Ian Maatsen,MID,Chelsea,0.5,0
Max Lowe,DEF,Sheffield Utd,1,1
Joe Whitworth,GK,Crystal Palace,-0.5,0
Thomas Cannon,FWD,Everton,0,0
Hannibal Mejbri,MID,Man Utd,0.5,0
Boubacar Kamara,MID,Aston Villa,2.5,3
Andrey Nascimento dos Santos,MID,Chelsea,0,0
Loris Karius,GK,Newcastle,-0.5,0
Bart Verbruggen,GK,Brighton,0,0
Morgan Sanson,MID,Aston Villa,0,0
Bernd Leno,GK,Fulham,7,2
Josh Dasilva,MID,Brentford,0.5,1
Josh Bowler,MID,Nott'm Forest,0,0
Bashir Humphreys,DEF,Chelsea,1,0
Oleksandr Zinchenko,DEF,Arsenal,1,1
Tyrese Francois,MID,Fulham,0,0
Callum Wilson,FWD,Newcastle,2.5,1
Allan Saint-Maximin,MID,Newcastle,0,0
Steven Alzate,MID,Brighton,0,0
Keinan Davis,FWD,Aston Villa,0,0
Bruno Borges Fernandes,MID,Man Utd,2.5,1
Hamed Traorè,MID,Bournemouth,0,1
Jeremy Sarmiento Morante,MID,Brighton,0,0
Sam Surridge,FWD,Nott'm Forest,0,0
Jesurun Rak-Sakyi,MID,Crystal Palace,0,1
Gabriel Fernando de Jesus,FWD,Arsenal,0,0
Eric Dier,DEF,Spurs,-0.5,0
Joel Ward,DEF,Crystal Palace,3.5,2
Harvey Barnes,MID,Newcastle,5,0
Mateo Kovačić,MID,Man City,3.5,3
Ashley Young,DEF,Everton,1,0
Aaron Cresswell,DEF,West Ham,0,0
Sergio Reguilón,DEF,Spurs,-0.5,0
Morgan Gibbs-White,MID,Nott'm Forest,2.5,2
Raphaël Varane,DEF,Man Utd,8,1
Igor Julio dos Santos de Paulo,DEF,Brighton,0,0
Brandon Williams,DEF,Man Utd,0.5,0
Hugo Lloris,GK,Spurs,-0.5,0
Fabian Schär,DEF,Newcastle,1.5,2
Orel Mangala,MID,Nott'm Forest,2,2
Frederico Rodrigues de Paula Santos,MID,Man Utd,0,0
Marek Rodák,GK,Fulham,0,0
Shandon Baptiste,MID,Brentford,0.5,0
Michał Karbownik,DEF,Brighton,0,0
Mason Burstow,FWD,Chelsea,0.5,1
André Onana,GK,Man Utd,6,2
Julián Álvarez,FWD,Man City,6.5,7
Maxwel Cornet,MID,West Ham,0.5,0
Terence Kongolo,DEF,Fulham,0,0
Caoimhin Kelleher,GK,Liverpool,0.5,0
Ivan Neves Abreu Cavaleiro,MID,Fulham,0,0
Chris Mepham,DEF,Bournemouth,-0.5,0
Facundo Buonanotte,MID,Brighton,0,0
John Fleck,MID,Sheffield Utd,0,0
Rodrigo Muniz Carvalho,FWD,Fulham,0.5,1
Thomas Strakosha,GK,Brentford,0,0
Fábio Ferreira Vieira,MID,Arsenal,0.5,0
Cheick Doucouré,MID,Crystal Palace,1.5,1
Joe Hodge,MID,Wolves,0,0
Omari Forson,MID,Man Utd,0.5,0
Joel Matip,DEF,Liverpool,0.5,0
Davinson Sánchez,DEF,Spurs,-0.5,0
Craig Dawson,DEF,Wolves,0.5,-1
Toti António Gomes,DEF,Wolves,0.5,1
Nayef Aguerd,DEF,West Ham,3.5,5
Diogo Dalot Teixeira,DEF,Man Utd,1,1
Amadou Onana,MID,Everton,2,2
Adrián San Miguel del Castillo,GK,Liverpool,0.5,0
Youssef Ramalho Chermiti,FWD,Everton,0,0
Bukayo Saka,MID,Arsenal,7,3
Ben Mee,DEF,Brentford,0,0
Joe Worrall,DEF,Nott'm Forest,2,2
Diego Carlos Santos Silva,DEF,Aston Villa,0.5,1
Lewis Cook,MID,Bournemouth,0,0
Bendegúz Bolla,DEF,Wolves,0,0
Malo Gusto,DEF,Chelsea,1,1
Dele Alli,MID,Everton,0,0
Noni Madueke,MID,Chelsea,0.5,1
Milos Kerkez,DEF,Bournemouth,1,1
Kortney Hause,DEF,Aston Villa,0,0
Will Hughes,MID,Crystal Palace,0,0
Alexander Isak,FWD,Newcastle,7,2
John-Kymani Gordon,FWD,Crystal Palace,-0.5,0
Cheikhou Kouyaté,MID,Nott'm Forest,1.5,1
Cédric Alves Soares,DEF,Arsenal,0.5,0
Pierre-Emerick Aubameyang,FWD,Chelsea,0,0
Garang Kuol,MID,Newcastle,0,0
Tom Davies,MID,Sheffield Utd,1.2,0
Antwoine Hackford,FWD,Sheffield Utd,0.5,1
Ethan Pinnock,DEF,Brentford,4,7
Jay Stansfield,FWD,Fulham,0,0
Ryan Yates,MID,Nott'm Forest,2,1
Frank Onyeka,MID,Brentford,0,0
Naouirou Ahamada,MID,Crystal Palace,0,1
Philip Billing,MID,Bournemouth,1.5,2
Gabriel Słonina,GK,Chelsea,0,0
Marc Guéhi,DEF,Crystal Palace,3.5,2
Seamus Coleman,DEF,Everton,0,0
Diogo Teixeira da Silva,MID,Liverpool,7,12
Matthew Dibley-Dias,MID,Fulham,0,0
James McAtee,MID,Man City,1,0
Erling Haaland,FWD,Man City,8,2
Anthony Martial,FWD,Man Utd,1,1
Danny Welbeck,FWD,Brighton,1.5,1
Carlos Vinícius Alves Morais,FWD,Fulham,0,0
Olu Aina,DEF,Nott'm Forest,0.5,0
Rodrigo Hernandez,MID,Man City,8.5,3
Victor Lindelöf,DEF,Man Utd,1,0
Kevin De Bruyne,MID,Man City,0,0
George Shelvey,GK,Nott'm Forest,0.5,0
Lucas Bergström,GK,Chelsea,0,0
Yasin Ayari,MID,Brighton,0,0
Lewis Miley,MID,Newcastle,-0.5,0
Roméo Lavia,MID,Chelsea,1.7,0
Gustavo Henrique Furtado Scarpa,MID,Nott'm Forest,0.5,0
Aaron Hickey,DEF,Brentford,2.5,5
Mads Bidstrup,MID,Brentford,0,0
Solly March,MID,Brighton,12,15
David Datro Fofana,FWD,Chelsea,0,0
Declan Rice,MID,Arsenal,3,3
Kacper Kozłowski,MID,Brighton,0,0
Joe Rothwell,MID,Bournemouth,1.5,2
Vini de Souza Costa,MID,Sheffield Utd,0.5,1
Ben Doak,MID,Liverpool,1,0
Fabio Henrique Tavares,MID,Liverpool,0,0
Louie Marsh,FWD,Sheffield Utd,-0.5,0
Oliver McBurnie,FWD,Sheffield Utd,-0.4,0
Mathias Jensen,MID,Brentford,3.5,3
Wesley Fofana,DEF,Chelsea,0,0
Ryan Fredericks,DEF,Bournemouth,0,0
Max Kilman,DEF,Wolves,0.5,-1
Nathan Aké,DEF,Man City,4,0
Lewis Hall,DEF,Chelsea,-0.5,0
Elliot Anderson,MID,Newcastle,0.5,1
Mykhailo Mudryk,MID,Chelsea,1,1
Siriki Dembélé,MID,Bournemouth,0,0
Dejan Kulusevski,MID,Spurs,2,3
Daniel Castelo Podence,MID,Wolves,0,0
Michale Olakigbe,MID,Brentford,0,0
Conor Gallagher,MID,Chelsea,2,2
Eberechi Eze,MID,Crystal Palace,2,2
Jonjo Shelvey,MID,Nott'm Forest,0.5,0
Thilo Kehrer,DEF,West Ham,0.5,0
Hwang Ui-jo,FWD,Nott'm Forest,0.5,0
Julio Enciso,MID,Brighton,4,7
Norberto Murara Neto,GK,Bournemouth,5.5,10
Richie Laryea,DEF,Nott'm Forest,0,0
Antonee Robinson,DEF,Fulham,3.5,1
Raúl Jiménez,FWD,Fulham,1.5,2
Hwang Hee-chan,MID,Wolves,3,5
Willian Borges da Silva,MID,Fulham,0.5,1
Rhian Brewster,FWD,Sheffield Utd,0,0
Jordan Pickford,GK,Everton,1,0
Anis Slimane,MID,Sheffield Utd,-0.5,0
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0.5,1
Ryan Fraser,MID,Newcastle,-0.5,0
Anthony Knockaert,MID,Fulham,0,0
Harry Maguire,DEF,Man Utd,0.5,0
Matheus Santos Carneiro Da Cunha,FWD,Wolves,2,2
Francisco Jorge Tomás Oliveira,MID,Wolves,0,0
Ki-Jana Hoever,DEF,Wolves,0,0
Loïc Mbe Soh,DEF,Nott'm Forest,0.5,0
Moussa Diaby,MID,Aston Villa,5,3
João Cancelo,DEF,Man City,0.5,0
Pau Torres,DEF,Aston Villa,3,6
Mohamed Elneny,MID,Arsenal,0,0
Jarrad Branthwaite,DEF,Everton,0,0
Martin Ødegaard,MID,Arsenal,7,11
Matheus Luiz Nunes,MID,Wolves,0.5,-1
Tom King,GK,Wolves,0,0
Rúben Gato Alves Dias,DEF,Man City,4,7
Djed Spence,DEF,Spurs,-0.5,0
Cameron Archer,FWD,Aston Villa,0,0
Emiliano Martínez Romero,GK,Aston Villa,4.5,8
Bobby De Cordova-Reid,MID,Fulham,4,2
Tomáš Souček,MID,West Ham,4.5,2
Joško Gvardiol,DEF,Man City,4,6
Cole Palmer,MID,Man City,1,0
Ivan Perišić,DEF,Spurs,0.5,1
Jordan Amissah,GK,Sheffield Utd,-0.5,0
Carlos Henrique Casimiro,MID,Man Utd,3,2
Tom Heaton,GK,Man Utd,0,0
Sepp van den Berg,DEF,Liverpool,0,0
Anel Ahmedhodžić,DEF,Sheffield Utd,0.5,1
Max Aarons,DEF,Bournemouth,1,1
Josh Powell,DEF,Nott'm Forest,0.5,0
Cristian Romero,DEF,Spurs,6,6
Daniel Bentley,GK,Wolves,0,0
Ethan Ampadu,DEF,Chelsea,0,0
Jan Paul van Hecke,DEF,Brighton,1,0
Yasser Larouci,DEF,Sheffield Utd,0.5,1
Carney Chukwuemeka,MID,Chelsea,3,5
Adam Davies,GK,Sheffield Utd,-0.5,0
Tyrick Mitchell,DEF,Crystal Palace,4.5,2
James Maddison,MID,Spurs,5.5,3
Mohamed Salah,MID,Liverpool,5.5,5
Harry Kane,FWD,Spurs,0,0
Yegor Yarmolyuk,MID,Brentford,0,0
Zack Steffen,GK,Man City,0.5,0
Antoine Semenyo,FWD,Bournemouth,4.5,6
Christian Pulisic,MID,Chelsea,0,0
Adam Webster,DEF,Brighton,0.5,1
Darwin Núñez Ribeiro,FWD,Liverpool,1.5,1
Axel Disasi,DEF,Chelsea,5.5,0
Folarin Balogun,FWD,Arsenal,0.5,0
Tyrone Mings,DEF,Aston Villa,0,0
Conor Coventry,MID,West Ham,0,0
Ismaila Coulibaly,MID,Sheffield Utd,-0.1,0
Fraser Forster,GK,Spurs,0,0
Jefferson Lerma Solís,MID,Crystal Palace,2,2
Lewis Dunk,DEF,Brighton,2,2
César Azpilicueta,DEF,Chelsea,0,0
Steve Cook,DEF,Nott'm Forest,0,0
Alex Telles,DEF,Man Utd,0,0
José Malheiro de Sá,GK,Wolves,1.5,1
João Neves Virgínia,GK,Everton,0,0
Saša Lukić,MID,Fulham,2.5,2
Emiliano Marcondes,MID,Bournemouth,0,0
Jacob Ramsey,MID,Aston Villa,0,0
Sandro Tonali,MID,Newcastle,3,1
Keane Lewis-Potter,MID,Brentford,0.5,1
Dwight McNeil,MID,Everton,0,0
Moisés Caicedo Corozo,MID,Chelsea,0.5,1
Jorge Luiz Frello Filho,MID,Arsenal,1,1
Kenny Tete,DEF,Fulham,3,1
Jack Harrison,MID,Everton,2.1,0
Adam Smith,DEF,Bournemouth,0,0
Romelu Lukaku Bolingoli,FWD,Chelsea,0,0
James Garner,MID,Everton,2,2
Thiago Emiliano da Silva,DEF,Chelsea,1.5,1
Rob Holding,DEF,Arsenal,0.5,0
Aaron Wan-Bissaka,DEF,Man Utd,7,1
Deniz Undav,FWD,Brighton,0,0
Álvaro Fernández Carreras,DEF,Man Utd,0.5,0
Bertrand Traoré,MID,Aston Villa,0,0
Nathan Patterson,DEF,Everton,0.5,-1
Christopher Nkunku,FWD,Chelsea,0,0
Serge Aurier,DEF,Nott'm Forest,6,10
Tom Cairney,MID,Fulham,0.5,0
Harry Arter,MID,Nott'm Forest,0.5,0
Mohamed Dräger,DEF,Nott'm Forest,0.5,0
Rúnar Alex Rúnarsson,GK,Arsenal,0.5,0
Scott Carson,GK,Man City,0.5,0
Bénie Traoré,FWD,Sheffield Utd,1.5,2
Jurriën Timber,DEF,Arsenal,0,0
Wes Foderingham,GK,Sheffield Utd,2,1
Odsonne Edouard,FWD,Crystal Palace,4,2
Jamal Lowe,MID,Bournemouth,-0.5,0
Matt Ritchie,MID,Newcastle,-0.5,0
James Milner,MID,Brighton,1.5,0
Mathias Jorgensen,DEF,Brentford,0.5,0
Michael Olise,MID,Crystal Palace,0,0
Oliver Skipp,MID,Spurs,0,0
Leander Dendoncker,MID,Aston Villa,0,0
Scott McKenna,DEF,Nott'm Forest,2,2
Michael Keane,DEF,Everton,0.5,-1
Sasa Kalajdzic,FWD,Wolves,0.5,0
Jarrod Bowen,MID,West Ham,5.5,2
Matt Turner,GK,Nott'm Forest,2.5,2
Raheem Sterling,MID,Chelsea,2,2
Kell Watts,DEF,Newcastle,0,0
Sergi Canós Tenés,MID,Brentford,0,0
Ryan Christie,MID,Bournemouth,1.5,2
Robert Sánchez,GK,Chelsea,2,2
Gavin Kilkenny,MID,Bournemouth,-0.5,0
Armando Broja,FWD,Chelsea,0,0
Dominic Solanke,FWD,Bournemouth,5.5,5
Chris Wood,FWD,Nott'm Forest,4.5,7
Alex Scott,MID,Bournemouth,0,0
Jaden Philogene-Bidace,MID,Aston Villa,0.5,0
Filip Marschall,GK,Aston Villa,1,0
Kalvin Phillips,MID,Man City,0.5,0
Rodrigo Bentancur,MID,Spurs,0,0
Matty Cash,DEF,Aston Villa,2.5,6
Mason Holgate,DEF,Everton,0,0
Jaidon Anthony,MID,Bournemouth,0.5,1
Tariq Lamptey,DEF,Brighton,0,0
Joseph Anang,GK,West Ham,0,0
George Baldock,DEF,Sheffield Utd,0.5,0
Jeff Hendrick,MID,Newcastle,-0.5,0
Mark Gillespie,GK,Newcastle,-0.5,0
Nélson Cabral Semedo,DEF,Wolves,1,0
Kevin Mbabu,DEF,Fulham,0,0
Tyrell Malacia,DEF,Man Utd,0,0
Chris Richards,DEF,Crystal Palace,-0.5,0
Jordan Henderson,MID,Liverpool,0,0
Kyle Walker,DEF,Man City,6.5,6
Vicente Guaita,GK,Crystal Palace,-0.5,0
Braian Ojeda Rodríguez,MID,Nott'm Forest,0,0
Mads Bech Sørensen,DEF,Brentford,0,0
